OriginStopId;DestinationStopId;Distance
2000;2001;410
2000;2008;480
2001;2002;430
2002;2003;450
2002;2009;300
2002;2022;430
2003;2004;470
2003;2020;420
2005;2008;320
2006;2025;500
2007;2008;340
2007;2021;470
2008;2010;370
2009;2016;440
2010;2016;450
2010;2017;460
2011;2012;420
2011;2013;430
2011;2018;480
2013;2016;480
2014;2018;300
2014;2019;310
2015;2016;500
2015;2019;320
2016;2017;310
2017;2018;330
2019;2024;410
2020;2023;410
2021;2022;410
2023;2025;460
2026;2027;300
2026;2028;310
2028;2029;340
