StopId;Name;CoordinateX;CoordinateY
2000;MerkezPark;35,30000;37,00000
2001;AtaturkCaddesi;35,30200;37,00080
2002;GazipasaBulvari;35,30400;37,00160
2003;BarajYolu;35,30600;37,00240
2004;CukurovaUniversitesi;35,30800;37,00320
2005;ATUMerkezKampus;35,31000;37,00400
2006;BalcaliHastanesi;35,31200;37,00480
2007;AdanaOtogar;35,31400;37,00560
2008;Resatbey;35,31600;37,00640
2009;Ziyapasa;35,31800;37,00720
2010;CarshiMerkez;35,32000;37,00800
2011;KarsiyakaYuregir;35,32200;37,00880
2012;YuregirMerkez;35,32400;37,00960
2013;GirneBulvari;35,32600;37,01040
2014;AnadoluLisesi;35,32800;37,01120
2015;SeyhanDevletHastanesi;35,33000;37,01200
2016;Karasoku;35,33200;37,01280
2017;Kucuksaat;35,33400;37,01360
2018;SaydamCaddesi;35,33600;37,01440
2019;DogaPark;35,33800;37,01520
2020;SoftaTepe;35,34000;37,01600
2021;M1AlisverisMerkezi;35,34200;37,01680
2022;MetroIstasyonu;35,34400;37,01760
2023;YuzuncuYil;35,34600;37,01840
2024;Galleria;35,34800;37,01920
2025;BarajKapaklari;35,35000;37,02000
2026;MithatOzsanBulvari;35,35200;37,02080
2027;TurgutOzalBulvari;35,35400;37,02160
2028;FatihMahallesi;35,35600;37,02240
2029;HastaneKavsagi;35,35800;37,02320
