LineId;Direction;Order;StopId
1;0;1;2000
1;0;2;2001
1;0;3;2002
1;0;4;2003
1;0;5;2004
1;1;1;2004
1;1;2;2003
1;1;3;2002
1;1;4;2001
1;1;5;2000
2;0;1;2007
2;0;2;2021
2;0;3;2022
2;0;4;2002
2;0;5;2001
2;0;6;2000
2;1;1;2000
2;1;2;2001
2;1;3;2002
2;1;4;2022
2;1;5;2021
2;1;6;2007
3;0;1;2012
3;0;2;2011
3;0;3;2013
3;0;4;2016
3;0;5;2010
3;0;6;2008
3;0;7;2005
3;1;1;2005
3;1;2;2008
3;1;3;2010
3;1;4;2016
3;1;5;2013
3;1;6;2011
3;1;7;2012
4;0;1;2015
4;0;2;2019
4;0;3;2014
4;0;4;2018
4;0;5;2017
4;0;6;2016
4;0;7;2009
4;0;8;2002
4;1;1;2002
4;1;2;2009
4;1;3;2016
4;1;4;2017
4;1;5;2018
4;1;6;2014
4;1;7;2019
4;1;8;2015
5;0;1;2003
5;0;2;2020
5;0;3;2023
5;0;4;2025
5;0;5;2006
5;1;1;2006
5;1;2;2025
5;1;3;2023
5;1;4;2020
5;1;5;2003
6;0;1;2010
6;0;2;2017
6;0;3;2018
6;0;4;2011
6;0;5;2012
6;1;1;2012
6;1;2;2011
6;1;3;2018
6;1;4;2017
6;1;5;2010
7;0;1;2024
7;0;2;2019
7;0;3;2015
7;0;4;2016
7;1;1;2016
7;1;2;2015
7;1;3;2019
7;1;4;2024
8;0;1;2022
8;0;2;2021
8;0;3;2007
8;0;4;2008
8;0;5;2000
8;1;1;2000
8;1;2;2008
8;1;3;2007
8;1;4;2021
8;1;5;2022
9;0;1;2021
9;0;2;2022
9;0;3;2002
9;0;4;2001
9;1;1;2001
9;1;2;2002
9;1;3;2022
9;1;4;2021
10;0;1;2027
10;0;2;2026
10;0;3;2028
10;0;4;2029
10;1;1;2029
10;1;2;2028
10;1;3;2026
10;1;4;2027
